Gender,Name,Nationality,Age,Height,Weight,Occupation,Kids,Dish
M,Tim,Canada,29,184,93,Business,0,Salad
F,Elsa,Russia,25,167,62,Medecine,0,Hamburger
F,Sara,Sweden,29,170,82,Unemployed,3,Salad
M,Eric,Luxembourg,30,173,88,Finance,2,Steak
M,Yannick,Japan,29,190,95,Biology,3,Hamburger
M,Pedro,Russia,20,193,116,Business,2,Fish
M,Charlie,Chile,21,192,98,Psychology,3,Spaghetti
M,Joel,Italy,26,176,73,Teaching,3,Gnocchi
F,Sophie,UK,27,174,98,Psychology,2,Steak
M,Tom,Luxembourg,27,158,97,Mathematics,0,Gnocchi
M,Fabio,Italy,26,186,119,Theater,1,Kebab
F,Mia,Canada,28,186,104,Psychology,3,Gnocchi
M,Valentin,UK,20,186,98,Mathematics,3,Garlic butter naans
M,Eric,Japan,27,190,102,Music,1,Salad
M,Sam,Luxembourg,30,179,82,Unemployed,0,Kebab
M,Sam,China,25,182,117,Computer Science,3,Steak
F,Mia,France,26,176,115,Literature,2,Kebab
M,Pedro,Korea,28,187,97,Medecine,2,Sushi
M,Charlie,Japan,27,174,103,Biology,1,Hamburger
F,Jamie,South Africa,24,182,72,Teaching,0,Gnocchi
F,Jamie,South Africa,26,156,62,Medecine,0,Salad
M,Louis,Jamaica,29,173,93,Music,0,Hamburger
M,Carlos,Korea,23,180,97,Unemployed,0,Pizza
M,Pedro,Sweden,29,193,101,Music,0,Kebab
F,Isabel,Sweden,21,193,119,Music,3,Steak
M,Carlos,Luxembourg,30,167,104,Business,2,Spaghetti
F,Elsa,France,30,176,117,Physics,0,Pizza
M,Louis,Jamaica,23,160,119,Unemployed,2,Garlic butter naans
M,Eric,France,29,154,53,Teaching,1,Garlic butter naans
F,Hannah,Spain,25,176,86,Computer Science,0,Pizza
F,Isabel,Greece,30,159,72,Teaching,1,Hamburger
F,Hannah,Sweden,30,177,87,Psychology,2,Spaghetti
M,Jude,US,27,193,102,Biology,3,Sushi
M,Fabio,UK,28,155,67,Medecine,2,Steak
F,Marie,Japan,20,171,65,Computer Science,0,Pizza
F,Mia,South Africa,26,187,83,Teaching,3,Gnocchi
F,Sophie,Italy,29,169,86,Finance,2,Fish
F,Emma,Sweden,20,164,78,Unemployed,3,Fish
F,Ivy,South Africa,23,192,93,Biology,3,Kebab
M,Tim,Canada,27,178,100,Physics,1,Steak
M,Charlie,Greece,28,183,76,Biology,2,Hamburger
M,Sam,Russia,29,175,73,Computer Science,0,Pizza
M,Fabio,Chile,26,163,63,Psychology,2,Spaghetti
F,Sophie,Greece,25,179,74,Theater,0,Salad
M,Kim,Germany,24,192,101,Computer Science,0,Spaghetti
M,Louis,Greece,26,188,101,Finance,3,Steak
M,Sofyan,Russia,27,154,63,Music,2,Sushi
F,Sophie,Italy,23,183,119,Music,2,Salad
M,Fabio,Chile,21,193,86,Medecine,1,Steak
F,Charlie,Russia,29,159,49,Music,1,Pizza
M,Louis,France,28,164,101,Teaching,2,Salad
F,Jude,South Africa,24,166,73,Literature,0,Pizza
M,Sofyan,Spain,23,194,113,Theater,0,Gnocchi
M,Tim,Italy,27,173,106,Theater,0,Salad
M,Fabio,UK,23,154,61,Biology,1,Sushi
F,Charlie,Chile,26,157,90,Medecine,3,Salad
M,Tim,Greece,28,159,68,Teaching,3,Hamburger
F,Sabrina,Canada,26,191,81,Computer Science,1,Gnocchi
F,Olivia,Russia,30,185,80,Teaching,0,Spaghetti
F,Elsa,Greece,30,180,73,Finance,1,Salad
M,Sam,Russia,25,188,112,Physics,2,Fish
F,Elsa,Spain,25,170,99,Unemployed,3,Salad
F,Lucie,China,21,188,87,Computer Science,2,Garlic butter naans
M,Sofyan,Italy,23,161,105,Teaching,2,Steak
F,Sabrina,France,26,178,118,Literature,1,Kebab
F,Sara,UK,23,154,105,Biology,1,Pizza
F,Charlie,Sweden,22,178,112,Theater,1,Kebab
M,Valentin,Germany,22,150,114,Unemployed,1,Hamburger
M,Charlie,Italy,20,183,75,Mathematics,1,Spaghetti
M,Kevin,Russia,30,190,91,Finance,0,Garlic butter naans
M,Jude,China,21,195,95,Unemployed,3,Salad
F,Hannah,US,28,165,112,Psychology,1,Gnocchi
F,Kim,UK,23,160,93,Theater,3,Garlic butter naans
F,Ivy,Italy,22,190,91,Teaching,0,Garlic butter naans
M,Tim,France,28,162,98,Psychology,2,Hamburger
M,Pedro,Korea,25,158,68,Theater,2,Sushi
F,Hannah,Chile,28,150,88,Music,3,Pizza
F,Marie,Russia,23,167,103,Literature,0,Fish
F,Jamie,Russia,25,189,93,Unemployed,3,Fish
M,Kevin,France,22,163,118,Unemployed,3,Sushi
F,Sabrina,Greece,30,164,108,Literature,1,Hamburger
M,Louis,Germany,30,150,66,Physics,2,Kebab
M,Yannick,Jamaica,30,162,113,Physics,0,Garlic butter naans
M,Joel,Canada,23,152,108,Psychology,3,Hamburger
F,Emma,Spain,29,195,112,Unemployed,0,Fish
F,Lucie,Spain,24,171,96,Finance,1,Sushi
F,Sam,Luxembourg,23,162,71,Business,0,Spaghetti
M,Sam,South Africa,21,170,105,Theater,2,Kebab
F,Zoey,Spain,29,160,74,Teaching,2,Sushi
M,Sofyan,Japan,21,183,85,Computer Science,0,Pizza
F,Sabrina,Chile,30,164,95,Mathematics,1,Kebab
M,Valentin,Italy,21,182,77,Teaching,1,Kebab
F,Olivia,Germany,21,153,88,Theater,0,Steak
F,Isabel,Jamaica,21,174,75,Unemployed,2,Gnocchi
F,Jamie,Jamaica,20,159,50,Unemployed,0,Gnocchi
F,Sophie,Spain,29,168,94,Literature,1,Fish
M,Sam,Spain,21,160,53,Psychology,2,Spaghetti
F,Charlie,Chile,27,176,100,Medecine,3,Kebab
F,Teresa,UK,21,162,102,Mathematics,2,Sushi
F,Sophie,Greece,28,158,89,Finance,2,Kebab
M,Yannick,Germany,21,180,95,Unemployed,1,Garlic butter naans
F,Sophie,China,24,172,84,Mathematics,0,Spaghetti
M,Kevin,Italy,24,180,73,Physics,3,Salad
M,Charlie,Spain,25,181,102,Unemployed,3,Fish
M,Roy,South Africa,27,181,111,Medecine,0,Gnocchi
F,Sabrina,Chile,28,151,57,Medecine,2,Kebab
F,Isabel,Jamaica,20,170,78,Finance,1,Salad
M,Fabio,Spain,27,188,120,Music,2,Hamburger
M,Jim,Japan,21,164,55,Business,0,Spaghetti
F,Charlie,US,26,163,64,Unemployed,2,Spaghetti
M,Louis,France,30,174,93,Computer Science,1,Sushi
M,Jamie,Spain,20,181,101,Medecine,3,Steak
M,Jude,China,24,179,73,Psychology,2,Fish
F,Jeanne,Jamaica,26,187,102,Medecine,2,Salad
M,Yannick,Luxembourg,28,195,102,Computer Science,1,Garlic butter naans
F,Isabel,Canada,26,163,109,Medecine,3,Pizza
M,Jean,Germany,26,175,107,Physics,1,Salad
F,Jamie,Germany,30,166,113,Mathematics,3,Fish
M,Jude,Greece,29,156,78,Literature,0,Garlic butter naans
M,Pedro,Italy,27,183,80,Theater,0,Gnocchi
F,Jamie,US,23,173,96,Business,1,Fish
M,Sam,UK,22,168,69,Psychology,0,Garlic butter naans
F,Olivia,Jamaica,22,170,114,Computer Science,0,Steak
F,Zoey,Russia,29,164,98,Business,3,Sushi
F,Jamie,Italy,28,162,101,Literature,1,Hamburger
M,Kim,UK,28,182,95,Literature,2,Spaghetti
F,Lucie,US,20,164,117,Mathematics,3,Spaghetti
M,Roy,Sweden,30,195,115,Medecine,1,Garlic butter naans
F,Mia,Japan,20,152,55,Finance,0,Gnocchi
F,Teresa,Italy,29,191,118,Literature,3,Kebab
F,Isabel,France,24,166,115,Literature,1,Spaghetti
M,Joel,Luxembourg,24,172,98,Business,3,Pizza
F,Mia,Japan,20,190,100,Business,2,Hamburger
F,Sabrina,Korea,26,150,99,Music,0,Garlic butter naans
F,Ivy,Japan,30,186,96,Physics,2,Garlic butter naans
F,Teresa,France,28,181,81,Psychology,3,Steak
F,Isabel,South Africa,21,186,94,Medecine,1,Sushi
F,Marie,US,24,155,120,Biology,2,Pizza
M,Sofyan,Canada,23,191,105,Unemployed,2,Steak
F,Zoey,Greece,24,180,112,Theater,2,Steak
M,Jim,Italy,20,193,110,Literature,3,Sushi
F,Ivy,UK,30,185,83,Computer Science,1,Pizza
F,Jamie,South Africa,20,165,118,Medecine,2,Pizza
M,Jim,Germany,23,188,104,Teaching,3,Garlic butter naans
M,Roy,Japan,30,170,117,Finance,0,Fish
M,Yannick,China,30,181,107,Psychology,2,Gnocchi
M,Carlos,South Africa,20,189,94,Business,2,Kebab
F,Charlie,Italy,23,160,66,Biology,2,Spaghetti
M,Jean,Korea,28,191,108,Psychology,3,Sushi
F,Marie,Korea,30,187,105,Music,0,Kebab
M,Joel,Luxembourg,25,172,68,Teaching,1,Sushi
F,Jeanne,France,26,158,88,Physics,0,Kebab
M,Valentin,Chile,20,186,120,Medecine,0,Gnocchi
M,Sofyan,Spain,25,176,76,Unemployed,0,Hamburger
M,Jamie,Greece,25,176,72,Mathematics,3,Salad
M,Kevin,Jamaica,30,158,77,Finance,3,Salad
M,Jean,Japan,28,173,103,Psychology,2,Hamburger
F,Sophie,Canada,27,184,81,Computer Science,0,Garlic butter naans
F,Mia,Greece,29,195,111,Mathematics,2,Kebab
M,Roy,Korea,27,174,120,Unemployed,2,Spaghetti
F,Emma,China,30,180,93,Finance,1,Sushi
F,Jamie,Germany,30,160,102,Medecine,1,Fish
F,Emma,US,24,177,97,Psychology,1,Spaghetti
M,Jean,France,24,172,93,Literature,2,Spaghetti
M,Kevin,Jamaica,26,163,76,Mathematics,0,Sushi
M,Fabio,US,22,154,108,Psychology,0,Spaghetti
M,Joel,Jamaica,27,155,67,Business,2,Hamburger
F,Sam,Italy,29,173,69,Computer Science,0,Pizza
M,Tim,Greece,22,187,104,Business,0,Sushi
M,Jean,Luxembourg,25,174,93,Psychology,3,Fish
M,Louis,Sweden,25,160,97,Computer Science,3,Sushi
F,Isabel,Chile,20,151,50,Theater,3,Hamburger
M,Charlie,Germany,26,184,100,Teaching,1,Steak
F,Jude,Luxembourg,22,155,99,Physics,1,Garlic butter naans
M,Sofyan,Sweden,22,167,108,Literature,2,Hamburger
F,Marie,Korea,22,176,103,Unemployed,0,Spaghetti
M,Roy,Italy,24,170,74,Medecine,2,Gnocchi
M,Sam,China,26,189,93,Theater,0,Sushi
F,Sara,Japan,25,156,98,Biology,1,Hamburger
M,Louis,South Africa,29,169,110,Finance,1,Kebab
M,Roy,China,21,161,109,Teaching,3,Kebab
M,Sam,Germany,30,164,59,Medecine,2,Sushi
M,Jude,France,21,191,102,Music,0,Pizza
F,Sophie,Korea,28,179,114,Computer Science,3,Garlic butter naans
F,Emma,Italy,30,185,112,Teaching,0,Sushi
F,Sam,Russia,27,168,68,Biology,1,Spaghetti
F,Charlie,Jamaica,23,188,79,Physics,1,Steak
M,Tim,South Africa,28,189,103,Psychology,1,Spaghetti
M,Jamie,Japan,28,174,96,Computer Science,1,Fish
F,Mia,Spain,30,185,85,Mathematics,3,Fish
F,Jude,China,30,150,96,Psychology,3,Sushi
M,Tim,Japan,29,193,120,Music,0,Garlic butter naans
M,Jim,Korea,20,156,86,Finance,2,Kebab
F,Sophie,Greece,22,192,116,Music,0,Hamburger
M,Charlie,Korea,24,192,91,Physics,3,Gnocchi
F,Marie,Luxembourg,20,186,114,Medecine,0,Garlic butter naans
M,Charlie,China,26,167,82,Mathematics,2,Salad
F,Elsa,Jamaica,30,181,71,Finance,1,Garlic butter naans
M,Valentin,Chile,21,163,67,Psychology,2,Hamburger
M,Kevin,China,23,166,105,Biology,3,Kebab
M,Tim,Japan,27,151,75,Music,3,Gnocchi
M,Jude,Japan,25,192,90,Physics,1,Kebab
M,Fabio,Korea,25,190,83,Music,2,Garlic butter naans
M,Eric,Germany,23,173,90,Physics,2,Gnocchi
M,Jude,UK,20,178,94,Literature,1,Spaghetti
M,Fabio,Chile,22,178,95,Physics,3,Spaghetti
M,Carlos,Sweden,27,156,94,Mathematics,0,Hamburger
F,Sophie,US,29,155,79,Computer Science,3,Garlic butter naans
M,Jude,Russia,20,166,58,Music,3,Steak
F,Jeanne,Jamaica,21,172,84,Medecine,1,Pizza
F,Sara,UK,27,157,90,Psychology,3,Fish
M,Tom,Jamaica,22,179,116,Mathematics,3,Sushi
F,Isabel,Spain,20,177,76,Unemployed,1,Gnocchi
M,Sam,US,30,168,110,Computer Science,1,Hamburger
M,Sam,Italy,28,181,89,Unemployed,3,Fish
F,Lucie,Germany,25,156,58,Theater,0,Pizza
M,Fabio,Greece,24,150,59,Finance,0,Fish
M,Pedro,Germany,25,168,67,Literature,0,Fish
M,Kevin,Greece,29,164,107,Music,1,Pizza
M,Valentin,Luxembourg,30,180,98,Psychology,1,Gnocchi
M,Pedro,Korea,30,180,71,Unemployed,0,Sushi
M,Kevin,Spain,30,177,105,Biology,3,Spaghetti
F,Sophie,Korea,20,161,85,Physics,0,Kebab
M,Pedro,Jamaica,28,154,61,Biology,2,Steak
